Instance,Vehicles,Distance,Reference,Date
c1_8_1,80,25030.36,M,"2002. There are questions whether the solution is valid, several authors report 80/25184.38"
c1_8_2,72,26540.53,CAINIAO,Feb-19
c1_8_3,72,24242.49,SCR,Oct-18
c1_8_4,72,23824.17,Q,28-oct-14
c1_8_5q,80,25166.28,RP,25-feb-05
c1_8_6,79,26873.86,SCR,19-dec-21
c1_8_7,77,26464.91,SCR,19-dec-21
c1_8_8,73,26099.74,SCR,Jun-19
c1_8_9,72,24300.21,Q,14-aug-17
c1_8_10,72,24070.17,Q,04-sep-15
c2_8_1,24,11662.08,SCR,Oct-2018
c2_8_2,23,12285.31,Q,19-mar-18
c2_8_3,23,11410.69,VCGP,31-jul-12
c2_8_4,22,10990.64,SCR,19-dec-21
c2_8_5b,24,11425.23,NBD,2009
c2_8_6,23,12235.3,SCR,Oct-18
c2_8_7,23,13427.12,SCR,19-dec-21
c2_8_8,23,11288.01,Q,18-mar-15
c2_8_9,23,11592.52,Q,08-jan-18
c2_8_10,23,10977.36,Q,08-jul-16
r1_8_1,80,36767.92,SCR,19-dec-21
r1_8_2,72,32313.17,SCR,19-dec-21
r1_8_3,72,29338.97,SCR,19-dec-21
r1_8_4,72,27769.19,SCR,19-dec-21
r1_8_5,72,33529.08,SCR,19-dec-21
r1_8_6,72,30906.9,SCR,19-dec-21
r1_8_7,72,28823.76,SCR,19-dec-21
r1_8_8,72,27643.38,SCR,19-dec-21
r1_8_9,72,32293.46,SCR,19-dec-21
r1_8_10,72,30952.77,SCR,Jan-20
r2_8_1,15,28112.36,SCR,01-mar-18
r2_8_2,15,22795.79,CAINIAO,May-19
r2_8_3,15,17703.99,SCR,09-jul-18
r2_8_4,15,13192.32,SCR,Oct-18
r2_8_5,15,24255,SCR,Oct-18
r2_8_6,15,20412.02,"CAINIAO
SCR","Tie, Mar-19"
r2_8_7,15,16597.87,SCR,Mar-19
r2_8_8,15,12642.67,SCR,04-jul-18
r2_8_9,15,22277.04,SCR,Jul-19
r2_8_10,15,20358.61,CAINIAO,19-sep-18
rc1_8_1,72,30464.65,SCR,Aug-19
rc1_8_2,72,28511.55,SCR,May-19
rc1_8_3,72,27528.16,SCR,19-dec-21
rc1_8_4,72,26663.45,SCR,Jan-20
rc1_8_5,72,29508.27,SCR,May-19
rc1_8_6,72,29458.38,SCR,Apr-19
rc1_8_7,72,28979.6,SCR,19-dec-21
rc1_8_8,72,28607.51,SCR,Apr-19
rc1_8_9,72,28555.53,SCR,Apr-19
rc1_8_10,72,28331.16,SCR,19-dec-21
rc2_8_1,18,20981.14,BC4,05-apr-12
rc2_8_2,16,18151.95,CAINIAO,19-sep-18
rc2_8_3,15,14427.39,SCR,25-sep-18
rc2_8_4,15,10999.03,CAINIAO,26-sep-18
rc2_8_5,15,19074.02,"CAINIAO
SCR","Tie, Mar-19"
rc2_8_6,15,18143.04,CAINIAO,19-sep-18
rc2_8_7,15,16817.46,SCR,25-sep-18
rc2_8_8,15,15759.14,CAINIAO,26-sep-18
rc2_8_9,15,15325.25,SCR,19-dec-21
rc2_8_10,15,14411.81,SCR,Oct-18
